t_s,P_ufv_pu,Q_ufv_pu,id_ufv_ref_pu,id_ufv_pu,iq_ufv_ref_pu,iq_ufv_pu,vd_ufv_pu,vq_ufv_pu,vd_rede_pu,vq_rede_pu,vbus2_pu,ang_g1_rad,pe_g1_pu,ang_g3_rad,pe_g3_pu
0.044605,0.773362143333157,-0.0451865704586665,1,0.986298443221444,0,0.0455258375958302,0.979432181681751,0.0138921520682801,0.979425773430933,0.0122152729794189,0.962858398351553,15.2343410524127,0.503833511887176,16.0014276452577,0.800135105549779
0.04461,0.773326007132682,-0.045198031766835,1,0.986383697990923,0,0.0436396760711764,0.979515519762985,0.0137478522788191,0.979447341656912,0.0103423148255592,0.962938308645399,15.236224094579,0.503836948191447,16.0033076653117,0.800171389294751
0.044615,0.773277508007204,-0.0451376076643948,1,0.986465180793865,0,0.0417572517195822,0.979579658678771,0.0136563935461941,0.979465294760672,0.00847318795573548,0.963000092258263,15.2381071365902,0.50384049844707,16.0051876850822,0.80020799055854
0.04462,0.773216979274345,-0.0450099650592439,1,0.986542913783589,0,0.0398785688463311,0.97962567677334,0.0136160784619792,0.979479654850743,0.00660789589910818,0.96304477112305,15.2399901784464,0.503844165701466,16.0070677045691,0.800244904646519
0.044625,0.773144759267428,-0.0448196457124334,1,0.986616919057775,0,0.0380036316526423,0.979654618301458,0.0136252417023487,0.979490443977015,0.00474644208351565,0.963073342519335,15.2418732201475,0.503847953015134,16.0089477237722,0.800282126912404
0.04463,0.773061191639571,-0.0445710668158733,1,0.986687218658147,0,0.0361324442364025,0.979667494032869,0.0136822500960366,0.979497684130453,0.00288882983621116,0.963086778806427,15.2437562616935,0.503851863458292,16.0108277426916,0.800319652761817
0.044635,0.772966625589584,-0.0442685216713835,1,0.98675383457016,0,0.0342650105928989,0.979665281865373,0.0137855026457841,0.979501397242803,0.00103506238459931,0.963086027218586,15.2456393030844,0.503855900107293,16.012707761327,0.800357477654678
0.04464,0.772861416015495,-0.0439161804686258,1,0.986816788722698,0,0.0324013346155476,0.979648927445933,0.0139334305057343,0.979501605186321,-0.000814857143030534,0.963072009719423,15.2475223443203,0.503860066041049,16.0145877796785,0.800395597107855
0.044645,0.772745923600508,-0.0435180911607319,1,0.98687610298777,0,0.0305414200966254,0.979619344798218,0.0141244969161829,0.979498329773498,-0.00266092571676987,0.963045622911578,15.249405385401,0.503864364337464,16.0164677977458,0.800434006698112
0.04465,0.772620921580496,-0.0432419485437378,1,0.986931799180221,0,0.0286852707279923,0.979583592040807,0.0142332126297612,0.979491592756794,-0.00450314040436403,0.963012028989584,15.2512884263265,0.503868798069845,16.0183478155289,0.800472702064126
0.044655,0.772486335280305,-0.0430794615147524,1,0.986983899057441,0,0.0268328901018162,0.979541597312389,0.0142627949369273,0.979481415828376,-0.00634149837048428,0.962971176321193,15.253171467097,0.503873370303283,16.0202278330277,0.800511678909255
0.04466,0.772342091042569,-0.0430226820775545,1,0.987032424319088,0,0.0249842817112964,0.979493305448502,0.0142163185997025,0.979467820619864,-0.00817599687600142,0.96292304736273,15.2550545077123,0.50387808409103,16.0221078502421,0.800550933003693
0.044665,0.772188255335703,-0.0429001862429379,1,0.987077396606807,0,0.0231394489513836,0.979433194600534,0.0142208194658785,0.979450828702083,-0.0100066332772621,0.962864030087392,15.2569375481725,0.503882942470852,16.0239878671719,0.800590460186586
0.04467,0.772025198330261,-0.0427165853781833,1,0.987118837503965,0,0.0212983951194966,0.979362126834388,0.0142745539469036,0.979430461584817,-0.01183340502537,0.962794947645849,15.2588205884776,0.503887948461369,16.0258678838172,0.80063025636814
0.044675,0.771853293971703,-0.0424762605068913,1,0.987156768535385,0,0.0194611234162382,0.979280930226939,0.0143758864101957,0.979406740716575,-0.0136563096654663,0.962716598475151,15.2607036286275,0.503893105058529,16.0277479001777,0.800670317531629
0.04468,0.771672920137349,-0.0421834819935041,1,0.987191211167088,0,0.0176276369461098,0.97919040355772,0.0145232029733287,0.979379687484353,-0.0154753448360135,0.96262975888246,15.2625866686222,0.503898415231794,16.0296279162535,0.800710639735064
0.044685,0.771484458748315,-0.0418423956116726,1,0.987222186806041,0,0.0157979387182203,0.979091316472634,0.0147149223239603,0.979349323213415,-0.0172905082680832,0.962535182615109,15.2644697084617,0.503903881920656,16.0315079320443,0.800751219113211
