t_s,P_ufv_pu,Q_ufv_pu,id_ufv_ref_pu,id_ufv_pu,iq_ufv_ref_pu,iq_ufv_pu,vd_ufv_pu,vq_ufv_pu,vd_rede_pu,vq_rede_pu,vbus2_pu,ang_g1_rad,pe_g1_pu,ang_g3_rad,pe_g3_pu
0.24525,0.857661497601003,-0.0551615755556028,1,1.07664637157191,0,-0.032510307611556,1.0179690729137,-0.0552100969103865,1.02112732140824,-0.0735739291800388,1.01672220107448,90.6516963233815,0.568812761217635,91.3263283172905,0.669095935539456
0.2453,0.846621538482697,-0.0455074016308031,1,1.07592111927325,0,-0.0511671244232743,1.01359139548935,-0.0508575653985769,1.01969864680693,-0.091262255513834,1.0121359240773,90.6704506662651,0.566000079111276,91.3450966439602,0.663666789871095
0.24535,0.836007520705032,-0.0366178644146685,1,1.07489960860144,0,-0.0693913607620769,1.00944482792825,-0.0437345483841828,1.01800579276399,-0.108528040064861,1.00767325652574,90.6892049907057,0.563149503968328,91.363864980778,0.658055442608779
0.2454,0.826796481006591,-0.0389615645185778,1,1.04158467586517,0,-0.0171225258293512,1.006058034468,-0.0439297532096873,1.00596685706102,-0.0439257719274454,1.00430722557446,90.7079592969177,0.560286529071649,91.3826333287017,0.652303889268267
0.24545,0.818149944893804,-0.0375329994583491,1,1.04111172714562,0,-0.0357517760088944,1.00260413471998,-0.0416700559405606,1.00502014774099,-0.0619135976931735,1.00076979274485,90.7267135851065,0.557437875471761,91.4014016886509,0.646460709614493
0.2455,0.810273083619167,-0.0349698533063909,1,1.04032658961724,0,-0.0539667010599284,0.999347842761519,-0.0364383852818614,1.00378268209871,-0.0794928805828735,0.997321326596619,90.7454678554658,0.554631217963487,91.4201700614965,0.640581105225174
0.24555,0.803347431628799,-0.0329802792599263,1,1.03925036107835,0,-0.0717670180963789,0.996399945548725,-0.0291646383240382,1.0022748530304,-0.0966639018844487,0.994144642281,90.7642221081761,0.551894823680986,91.438938448049,0.634726594294617
0.2456,0.797346808697932,-0.0411309612107605,1,1.01780417669116,0,-5.05704862975275e-05,0.993603271084695,-0.0296413891108623,0.993513222432708,-0.0296387027598708,0.991370753888763,90.7829763434028,0.549257113522048,91.4577068490483,0.628964332507463
0.24565,0.792191595585854,-0.0444444231151388,1,1.01763616864734,0,-0.0184925095131725,0.990972662336049,-0.02787689185104,0.992813084563185,-0.0476356481014471,0.988697344323018,90.8017305612944,0.54674616121952,91.476475265153,0.623366052094863
0.2457,0.788003700987869,-0.045359435499875,1,1.01714813854381,0,-0.0365377736623931,0.988695428653342,-0.0231860544772202,0.991812093859858,-0.0652360814521813,0.986306371023607,90.8204847619809,0.544389150319747,91.495243696931,0.618006637283969
0.24575,0.784888965846929,-0.0455542586646107,1,1.01636081205443,0,-0.0541852781426028,0.986846840252672,-0.0164105141455607,0.990530512923574,-0.0824395464402402,0.984327725879853,90.839238945573,0.542211813946752,91.5140121448511,0.612962382377029
0.2458,0.781898240793459,-0.0545235565486616,1,1.00760539368701,0,0.0228898996398768,0.984607930815527,-0.017257027112754,0.98451869739663,-0.0172554631363924,0.982109581485601,90.8579931121606,0.540237885342059,91.5327806092754,0.608309002276789
0.24585,0.77988727657177,-0.0577239600840426,1,1.00785565468785,0,0.00442223997604121,0.982852353987713,-0.0156955860908821,0.984037193054031,-0.0352933310690897,0.980332895979176,90.8767472618123,0.538488585762657,91.5515490904541,0.604119483088489
0.2459,0.778956388775373,-0.0577318609946107,1,1.007772754883,0,-0.0136620426079995,0.981682115910429,-0.0111032160621231,0.983245526201158,-0.0529438545727179,0.979103446896048,90.8955013945748,0.536982174259605,91.570317588521,0.600461873489932
0.24595,0.779190647513887,-0.0563792863713595,1,1.00737731951429,0,-0.0313610111586846,0.981120634854659,-0.00433941171222147,0.982163907215973,-0.0702059534075522,0.978490427147916,90.9142555104727,0.535733580352519,91.5890861034921,0.597397125883124
0.246,0.778787323544427,-0.063209657086642,1,1.00847535713739,0,0.0420481014922862,0.979664950922196,-0.00505054645940707,0.979576165477545,-0.00505008873657774,0.977042072919458,90.9330096095087,0.53475413494838,91.6078546352651,0.594977093597908
0.24605,0.779542379940792,-0.0640313184407181,1,1.00908153773669,0,0.0233460701499765,0.979034862678487,-0.00331907192243461,0.979314220290244,-0.0232083025068343,0.976406307259803,90.9517636916636,0.534051407903747,91.6266231836215,0.593242780031024
0.2461,0.781541252343474,-0.0615019876072348,1,1.00933907970298,0,0.00502105335728348,0.979232194117083,0.00144117096435472,0.978731414772466,-0.040985181534605,0.976598554503782,90.9705177568972,0.533629154242408,91.6453917482311,0.592222921714391
0.24615,0.784850892227,-0.0575216212673815,1,1.00926882070436,0,-0.0129242541959651,0.980214663343901,0.00834689293494564,0.977848072408055,-0.0583790600796888,0.977612764856157,90.9892718051489,0.533487364913705,91.6641603286575,0.591932971679543
0.2462,0.786848336578168,-0.0616206554493832,1,1.0181351408878,0,0.0542247060489825,0.979784673528047,0.00786310928337341,0.979695877233131,0.00786239666253972,0.977179956449773,91.0080258363388,0.5336224108192,91.6829289243665,0.592374525572348
0.24625,0.790211372862491,-0.0598183111131166,1,1.01897382857844,0,0.0350973008780652,0.980503230083437,0.00970875755060261,0.97967078241007,-0.0105350482160238,0.977913049633009,91.026779850369,0.53402726455609,91.7016975347355,0.593535207611463
0.2463,0.795004189067302,-0.0547672450131735,1,1.01944701445174,0,0.0163483510531068,0.98226396918936,0.0144835014576125,0.979311255975399,-0.0285533372613247,0.979727601371372,91.0455338471248,0.534691781916614,91.7204661590644,0.595389011747769
0.24635,0.801269541381782,-0.0483610401363332,1,1.01957609239752,0,-0.00201882840365986,0.984954049416208,0.021297864926868,0.978637978528725,-0.0461902168222167,0.982533574754246,91.0642878264762,0.535603024072664,91.7392347965878,0.597897076237644
0.2464,0.805587274230737,-0.0500877388531738,1,1.03534445261473,0,0.0590517008770879,0.985680420438076,0.0207935261437197,0.985591089821185,0.0207916416601901,0.983247085311229,91.08304178828,0.53674559910463,91.758003446488,0.601008848199603
