t_s,ia_ufv_pu,ib_ufv_pu,ic_ufv_pu,va_ufv_pu,vb_ufv_pu,vc_ufv_pu
0.4351,1.21584791433026,-1.87845707092933,0.662609156599076,0.143642836903914,-0.60620003989189,0.462557202987974
0.43515,1.24742011047319,-1.87438961490443,0.62696950443124,0.149700307745722,-0.601543034989092,0.451842727243372
0.4352,1.27684535342856,-1.86667894975433,0.589833596325771,0.154486006951388,-0.593932135338942,0.439446128387556
0.43525,1.3040482028542,-1.85518031236426,0.55113210951006,0.15867160803234,-0.584703742023224,0.426032133990883
0.4353,1.33046585234574,-1.8427641563505,0.512298304004761,0.167334685512324,-0.58401437443898,0.416679688926658
0.43535,1.35575641970727,-1.82873314944667,0.472976729739396,0.174608662826966,-0.580140193356695,0.405531530529727
0.4354,1.37975474228333,-1.81273450570344,0.432979763420113,0.181059700339963,-0.574230173645526,0.393170473305564
0.43545,1.40242398825732,-1.79466423747583,0.392240249218514,0.187104706595349,-0.5671413055067,0.380036598911354
0.4355,1.4238161426236,-1.77458939344358,0.350773250819984,0.193040449173253,-0.559495824597135,0.366455375423884
0.43555,1.44403954259952,-1.75268456858071,0.308645025981188,0.199067890060064,-0.551728770148815,0.35266088008875
0.4356,1.46323361405047,-1.72918291760376,0.265949303553288,0.205312983330078,-0.544128399835568,0.33881541650549
0.43565,1.48155001855793,-1.70434001648785,0.222789997929917,0.211844774812954,-0.536871194371669,0.325026419558716
0.4357,1.49913908406163,-1.67840824521644,0.179269161154806,0.218691098458941,-0.530052092081507,0.311360993622569
0.43575,1.51614047638849,-1.65161954037459,0.135479063986097,0.22585177834578,-0.523709816362878,0.297858038017101
0.4358,1.53267729469451,-1.62417482832823,0.091497533633726,0.233309198300177,-0.517847056829906,0.284537858529731
0.43585,1.54885295304028,-1.5962388218858,0.0473858688455203,0.241036285255182,-0.512445623310236,0.271409338055054
0.4359,1.56475029050142,-1.56793904070528,0.0031887502038602,0.249002178466864,-0.507477137607411,0.258474959140548
0.43595,1.58043237214094,-1.53936796826149,-0.0410644038794473,0.2571760047398,-0.502910096385875,0.245734091646079
0.436,1.59594445690404,-1.51058730346154,-0.0853571534425027,0.265529200015901,-0.498714187459115,0.233184987443213
0.43605,1.61131665321742,-1.48163337008953,-0.129683283127891,0.27403676412139,-0.494862624361438,0.22082586024005
0.4361,1.62656686288678,-1.45252291696055,-0.174043945926234,0.28267775698133,-0.491333090241101,0.208655333259774
0.43615,1.64170371085731,-1.42325874379015,-0.218444967067165,0.291435270241005,-0.488107733110553,0.19667246286955
0.4362,1.65672925327816,-1.39383478208208,-0.262894471196083,0.300296056312463,-0.485172548257124,0.184876491944664
0.43625,1.67164133642708,-1.364240421403,-0.307400915024085,0.309249961211597,-0.482516412297214,0.173266451085619
0.4363,1.6864355407474,-1.33446399215368,-0.351971548593729,0.318289278787547,-0.480129977985524,0.16184069919798
0.43635,1.70110668971311,-1.30449540120831,-0.396611288504798,0.327408115915156,-0.478004586799457,0.150596470884301
0.4364,1.71564993636386,-1.27432797503817,-0.441321961325689,0.336601829933624,-0.476131305064592,0.139529475130971
0.43645,1.73006146416077,-1.24395960300637,-0.486101861154401,0.345866573318578,-0.474500142935862,0.128633569617282
0.4365,1.74433885486514,-1.21339329539906,-0.530945559466082,0.355198958953219,-0.47309947871424,0.117900519761019
0.43655,1.75848118515301,-1.18263727872734,-0.575843906425666,0.364595843780918,-0.47191568595997,0.10731984217905
0.4366,1.77248891633928,-1.15170474705028,-0.620784169289,0.374054218824173,-0.470932946687449,0.096878727863273
0.43665,1.78636363900287,-1.12061337538674,-0.665750263616137,0.3835711882884,-0.470133227709258,0.0865620394208558
0.4367,1.79740436778153,-1.08803300250886,-0.709371365272677,0.383932889250584,-0.464890829343716,0.0809579400931324
0.43675,1.80667899306576,-1.05452083272056,-0.752158160345197,0.387494944785224,-0.461362797452895,0.0738678526676686
0.4368,1.81502185302542,-1.02051966595614,-0.794502187069276,0.39350046519596,-0.459148180202389,0.0656477150064276
0.43685,1.82305964943556,-0.986370286664876,-0.836689362770683,0.401307157640448,-0.457901907893682,0.0565947502532321
0.4369,1.82853422271359,-0.950972278072305,-0.877561944641289,0.401171896501241,-0.452727456109169,0.0515555596079249
0.43695,1.83280215708091,-0.915033253613417,-0.91776890346749,0.40502678015113,-0.449565301668748,0.0445385215176152
0.437,1.83685959820145,-0.879080697144059,-0.957778901057388,0.411790351578863,-0.44784898445087,0.0360586328720096
0.43705,1.8386904550271,-0.842135501254074,-0.996554953773025,0.411373350632858,-0.442508453670887,0.0311351030380283
0.4371,1.83708504373915,-0.803620739417248,-1.03346430432191,0.406230478520573,-0.434746428156327,0.0285159496357503
0.43715,1.8314565786499,-0.763269382158825,-1.06818719649107,0.398228689940511,-0.42547300586792,0.0272443159274084
0.4372,1.82438416828155,-0.722395298616504,-1.10198886966505,0.397951452956468,-0.419958231563925,0.0220067786074557
0.43725,1.81500267036172,-0.680587732653247,-1.13441493770847,0.394005065981513,-0.412485643576188,0.0184805775946768
0.4373,1.80288961523822,-0.637654375858355,-1.16523523937986,0.387782091381234,-0.403734328549635,0.0159522371684004
0.43735,1.78794574166774,-0.593561323755266,-1.19438441791247,0.380309547346931,-0.394203282838695,0.0138937354917651
0.4374,1.77299870704135,-0.549734710099876,-1.22326399694147,0.381531600323989,-0.388852946971995,0.00732134664800618
0.43745,1.75724814063999,-0.505783111611749,-1.25146502902824,0.379590732765184,-0.381745886625058,0.00215515385987173
0.4375,1.7402019493766,-0.46146568538455,-1.27873626399205,0.375562827088956,-0.373414352305923,-0.00214847478303444
0.43755,1.72160045748512,-0.416654328902449,-1.30494612858267,0.370275707709017,-0.364269481335268,-0.0060062263737505
0.4376,1.70135433938153,-0.371302836687493,-1.33005150269404,0.364352274366953,-0.3546227179864,-0.00972955638055492
0.43765,1.67949262106772,-0.325421180298744,-1.35407144076898,0.358246802123708,-0.344703749543036,-0.0135430525806737
0.4377,1.65612123190796,-0.279055136972526,-1.37706609493543,0.352276766078927,-0.334676150233812,-0.0176006158451157
0.43775,1.6313909595913,-0.23227067413365,-1.39912028545765,0.346651538488634,-0.324651421738271,-0.0220001167503646
0.4378,1.60547314530978,-0.185142236956233,-1.42033090835355,0.341498195209734,-0.314701564500649,-0.0267966307090875
0.43785,1.57854166670747,-0.137744190796235,-1.44079747591123,0.336883951838149,-0.304869955666354,-0.0320139961717937
0.4379,1.55076016693606,-0.0901448766379107,-1.46061529029815,0.33283470411146,-0.295180285417531,-0.0376544186939288
0.43795,1.52227376878355,-0.0424028803670203,-1.47987088841653,0.329349530974217,-0.28564349338626,-0.0437060375879574
